ID	Lokasi	Waktu
2017013116595911	PST#11	Selasa, 31-Jan-2017 16:59:59
2017013107160715	PST#15	Selasa, 31-Jan-2017 07:16:07
2017013017322311	PST#11	Senin, 30-Jan-2017 17:32:23
2017013007464915	PST#15	Senin, 30-Jan-2017 07:46:49
2017012517224017	PST#17	Rabu, 25-Jan-2017 17:22:40
2017012507101515	PST#15	Rabu, 25-Jan-2017 07:10:15
2017012418023818	PST#18	Selasa, 24-Jan-2017 18:02:38
2017012407462915	PST#15	Selasa, 24-Jan-2017 07:46:29
2017012317055212	PST#12	Senin, 23-Jan-2017 17:05:52
2017012307311715	PST#15	Senin, 23-Jan-2017 07:31:17
2017012014581911	PST#11	Jumat, 20-Jan-2017 14:58:19
2017012007293015	PST#15	Jumat, 20-Jan-2017 07:29:30
2017011918054911	PST#11	Kamis, 19-Jan-2017 18:05:49
2017011907223415	PST#15	Kamis, 19-Jan-2017 07:22:34
2017011817062711	PST#11	Rabu, 18-Jan-2017 17:06:27
2017011807015815	PST#15	Rabu, 18-Jan-2017 07:01:58
2017011717015911	PST#11	Selasa, 17-Jan-2017 17:01:59
2017011707280915	PST#15	Selasa, 17-Jan-2017 07:28:09
2017011617115111	PST#11	Senin, 16-Jan-2017 17:11:51
2017011607072015	PST#15	Senin, 16-Jan-2017 07:07:20
2017011316514115	PST#15	Jumat, 13-Jan-2017 16:51:41
2017011307310315	PST#15	Jumat, 13-Jan-2017 07:31:03
2017011216503111	PST#11	Kamis, 12-Jan-2017 16:50:31
2017011207225215	PST#15	Kamis, 12-Jan-2017 07:22:52
2017011117072711	PST#11	Rabu, 11-Jan-2017 17:07:27
2017011107255315	PST#15	Rabu, 11-Jan-2017 07:25:53
2017011016364315	PST#15	Selasa, 10-Jan-2017 16:36:43
2017011007301015	PST#15	Selasa, 10-Jan-2017 07:30:10
2017010916532915	PST#15	Senin, 09-Jan-2017 16:53:29
2017010907290415	PST#15	Senin, 09-Jan-2017 07:29:04
2017010616481111	PST#11	Jumat, 06-Jan-2017 16:48:11
2017010607464915	PST#15	Jumat, 06-Jan-2017 07:46:49
2017010516534315	PST#15	Kamis, 05-Jan-2017 16:53:43
2017010507354415	PST#15	Kamis, 05-Jan-2017 07:35:44
2017010416524013	PST#13	Rabu, 04-Jan-2017 16:52:40
2017010407254015	PST#15	Rabu, 04-Jan-2017 07:25:40
2017010316560711	PST#11	Selasa, 03-Jan-2017 16:56:07
2017010307233515	PST#15	Selasa, 03-Jan-2017 07:23:35
